County,State Well Number,Aquifer,Aquifer Type,Entity/Cooperator,Data Transmission,Latest Transmission Date,Daily High Water Level(feet below land surface),Latitude,Longitude,Status
Val Verde,7001707,Edwards-Trinity Plateau,Unconfined,Texas Water Development Board,Data Card,2/22/2017,55.98,,,Active
Victoria,8017502,Gulf Coast,Unconfined,Texas Water Development Board,Satellite,1/24/2018,34.38,,,Active
Walker,6028802,Gulf Coast,Unconfined,U.S. Geological Survey 1,Satellite,1/24/2018,78.14,,,Active
Ward,4525715,Pecos Valley,Unconfined,Texas Water Development Board,Satellite,1/24/2018,143.21,,,Active
Washington,5953915,Gulf Coast,Unconfined,Texas Water Development Board,Satellite,1/24/2018,33.76,,,Active
Wharton,6631107,Gulf Coast,Unconfined,Coastal Bend GCD,Satellite,1/24/2018,37.69,,,Active
Wharton,6653406,Gulf Coast,Unconfined,Texas Water Development Board,Satellite,1/24/2018,63.23,,,Active
Wharton,6661302,Gulf Coast,Unconfined,Coastal Bend GCD,Satellite,1/24/2018,52.99,,,Active
Wheeler,529505,Ogallala,Unconfined,Panhandle GCD,Satellite,1/24/2018,149.24,,,Active
Wheeler,539904,Other,Unconfined,Panhandle GCD,Satellite,1/24/2018,22.61,,,Active
Williamson,5803701,Trinity,Confined,Clearwater UWCD,Satellite,1/24/2018,649.77,,,Active
Williamson,5803702,Edwards (Balcones Fault Zone),Unconfined,Clearwater UWCD,Satellite,1/24/2018,58.53,,,Active
Williamson,5829603,Trinity,Confined,Texas Water Development Board,Satellite,1/24/2018,197.08,,,Active
Wilson,6862104,Carrizo-Wilcox,Confined,Texas Water Development Board,Satellite,1/24/2018,194.4,,,Active
Winkler,4615924,Pecos Valley,Unconfined,City of Wink,Satellite,1/24/2018,100.37,,,Active
Zavala,7702509,Carrizo-Wilcox,Confined,Texas Water Development Board,Satellite,1/24/2018,401.45,,,Active
