datetime,timezone,water_level(ft below land surface),source,status,comment
2018-02-01 07:00:00,-06:00,327.13,usgs nwis,D,
2018-02-01 06:00:00,-06:00,327.19,usgs nwis,D,
2018-02-01 05:00:00,-06:00,327.20,usgs nwis,D,
2018-02-01 03:00:00,-06:00,327.24,usgs nwis,D,
2018-02-01 02:00:00,-06:00,327.21,usgs nwis,D,
2018-02-01 01:00:00,-06:00,327.20,usgs nwis,D,
2018-02-01 00:00:00,-06:00,327.21,usgs nwis,D,
2018-01-31 23:00:00,-06:00,327.22,usgs nwis,D,
2018-01-31 22:00:00,-06:00,327.23,usgs nwis,D,
2018-01-31 21:00:00,-06:00,327.23,usgs nwis,D,
2018-01-31 19:00:00,-06:00,327.22,usgs nwis,D,
2018-01-31 18:00:00,-06:00,327.24,usgs nwis,D,
2018-01-31 17:00:00,-06:00,327.25,usgs nwis,D,
2018-01-31 15:00:00,-06:00,327.28,usgs nwis,D,
2018-01-31 14:00:00,-06:00,327.27,usgs nwis,D,
2018-01-31 13:00:00,-06:00,327.25,usgs nwis,D,
2018-01-31 11:00:00,-06:00,327.19,usgs nwis,D,
2018-01-31 10:00:00,-06:00,327.18,usgs nwis,D,
2018-01-31 09:00:00,-06:00,327.18,usgs nwis,D,
2018-01-31 07:00:00,-06:00,327.21,usgs nwis,D,
2018-01-31 06:00:00,-06:00,327.21,usgs nwis,D,
2018-01-31 05:00:00,-06:00,327.20,usgs nwis,D,
2018-01-31 03:00:00,-06:00,327.21,usgs nwis,D,
2018-01-31 02:00:00,-06:00,327.21,usgs nwis,D,
2018-01-31 01:00:00,-06:00,327.20,usgs nwis,D,
2018-01-31 00:00:00,-06:00,327.18,usgs nwis,D,
2018-01-30 23:00:00,-06:00,327.17,usgs nwis,D,
2018-01-30 22:00:00,-06:00,327.15,usgs nwis,D,
2018-01-30 21:00:00,-06:00,327.14,usgs nwis,D,
2018-01-30 19:00:00,-06:00,327.10,usgs nwis,D,
2018-01-30 18:00:00,-06:00,327.11,usgs nwis,D,
2018-01-30 17:00:00,-06:00,327.09,usgs nwis,D,
2018-01-30 15:00:00,-06:00,327.09,usgs nwis,D,
2018-01-30 14:00:00,-06:00,327.04,usgs nwis,D,
2018-01-30 13:00:00,-06:00,326.97,usgs nwis,D,
2018-01-30 11:00:00,-06:00,326.91,usgs nwis,D,
2018-01-30 10:00:00,-06:00,326.92,usgs nwis,D,
2018-01-30 09:00:00,-06:00,326.91,usgs nwis,D,
2018-01-30 07:00:00,-06:00,326.94,usgs nwis,D,
2018-01-30 06:00:00,-06:00,326.96,usgs nwis,D,
2018-01-30 05:00:00,-06:00,326.96,usgs nwis,D,
2018-01-30 03:00:00,-06:00,326.98,usgs nwis,D,
2018-01-30 02:00:00,-06:00,327.02,usgs nwis,D,
2018-01-30 01:00:00,-06:00,327.03,usgs nwis,D,
2018-01-30 00:00:00,-06:00,327.03,usgs nwis,D,
2018-01-29 23:00:00,-06:00,327.03,usgs nwis,D,
2018-01-29 22:00:00,-06:00,327.04,usgs nwis,D,
2018-01-29 21:00:00,-06:00,327.06,usgs nwis,D,
2018-01-29 19:00:00,-06:00,327.10,usgs nwis,D,
2018-01-29 18:00:00,-06:00,327.12,usgs nwis,D,
2018-01-29 17:00:00,-06:00,327.14,usgs nwis,D,
2018-01-29 15:00:00,-06:00,327.17,usgs nwis,D,
2018-01-29 14:00:00,-06:00,327.16,usgs nwis,D,
2018-01-29 13:00:00,-06:00,327.16,usgs nwis,D,
2018-01-29 11:00:00,-06:00,327.19,usgs nwis,D,
2018-01-29 10:00:00,-06:00,327.20,usgs nwis,D,
2018-01-29 09:00:00,-06:00,327.18,usgs nwis,D,
2018-01-29 07:00:00,-06:00,327.25,usgs nwis,D,
2018-01-29 06:00:00,-06:00,327.27,usgs nwis,D,
2018-01-29 05:00:00,-06:00,327.32,usgs nwis,D,
2018-01-29 03:00:00,-06:00,327.33,usgs nwis,D,
2018-01-29 02:00:00,-06:00,327.36,usgs nwis,D,
2018-01-29 01:00:00,-06:00,327.40,usgs nwis,D,
2018-01-29 00:00:00,-06:00,327.40,usgs nwis,D,
2018-01-28 23:00:00,-06:00,327.43,usgs nwis,D,
2018-01-28 22:00:00,-06:00,327.43,usgs nwis,D,
2018-01-28 21:00:00,-06:00,327.45,usgs nwis,D,
2018-01-28 19:00:00,-06:00,327.45,usgs nwis,D,
2018-01-28 18:00:00,-06:00,327.58,usgs nwis,D,
2018-01-28 17:00:00,-06:00,327.57,usgs nwis,D,
2018-01-28 15:00:00,-06:00,327.61,usgs nwis,D,
2018-01-28 14:00:00,-06:00,327.61,usgs nwis,D,
2018-01-28 13:00:00,-06:00,327.60,usgs nwis,D,
2018-01-28 11:00:00,-06:00,327.56,usgs nwis,D,
2018-01-28 10:00:00,-06:00,327.58,usgs nwis,D,
2018-01-28 09:00:00,-06:00,327.58,usgs nwis,D,
2018-01-28 07:00:00,-06:00,327.67,usgs nwis,D,
2018-01-28 06:00:00,-06:00,327.69,usgs nwis,D,
2018-01-28 05:00:00,-06:00,327.70,usgs nwis,D,
2018-01-28 03:00:00,-06:00,327.74,usgs nwis,D,
2018-01-28 02:00:00,-06:00,327.76,usgs nwis,D,
2018-01-28 01:00:00,-06:00,327.76,usgs nwis,D,
2018-01-28 00:00:00,-06:00,327.77,usgs nwis,D,
2018-01-27 23:00:00,-06:00,327.78,usgs nwis,D,
2018-01-27 22:00:00,-06:00,327.80,usgs nwis,D,
2018-01-27 21:00:00,-06:00,327.82,usgs nwis,D,
2018-01-27 19:00:00,-06:00,327.83,usgs nwis,D,
2018-01-27 18:00:00,-06:00,327.85,usgs nwis,D,
2018-01-27 17:00:00,-06:00,327.87,usgs nwis,D,
2018-01-27 15:00:00,-06:00,327.90,usgs nwis,D,
2018-01-27 14:00:00,-06:00,327.89,usgs nwis,D,
2018-01-27 13:00:00,-06:00,327.92,usgs nwis,D,
2018-01-27 11:00:00,-06:00,327.90,usgs nwis,D,
2018-01-27 10:00:00,-06:00,327.88,usgs nwis,D,
2018-01-27 09:00:00,-06:00,327.90,usgs nwis,D,
2018-01-27 07:00:00,-06:00,327.97,usgs nwis,D,
2018-01-27 06:00:00,-06:00,327.99,usgs nwis,D,
2018-01-27 05:00:00,-06:00,328.01,usgs nwis,D,
2018-01-27 03:00:00,-06:00,328.03,usgs nwis,D,
2018-01-27 02:00:00,-06:00,328.05,usgs nwis,D,
2018-01-27 01:00:00,-06:00,328.08,usgs nwis,D,
2018-01-27 00:00:00,-06:00,328.08,usgs nwis,D,
2018-01-26 23:00:00,-06:00,328.08,usgs nwis,D,
2018-01-26 22:00:00,-06:00,328.09,usgs nwis,D,
2018-01-26 21:00:00,-06:00,328.11,usgs nwis,D,
2018-01-26 19:00:00,-06:00,328.12,usgs nwis,D,
2018-01-26 18:00:00,-06:00,328.13,usgs nwis,D,
2018-01-26 17:00:00,-06:00,328.13,usgs nwis,D,
2018-01-26 15:00:00,-06:00,328.06,usgs nwis,D,
2018-01-26 14:00:00,-06:00,328.04,usgs nwis,D,
2018-01-26 13:00:00,-06:00,328.05,usgs nwis,D,
2018-01-26 11:00:00,-06:00,327.98,usgs nwis,D,
2018-01-26 10:00:00,-06:00,327.99,usgs nwis,D,
2018-01-26 09:00:00,-06:00,328.02,usgs nwis,D,
