datetime,timezone,water_level(ft below land surface),source,status,comment
2018-01-02 12:00:00,-06:00,96.16,usgs nwis,D,
2018-01-02 11:00:00,-06:00,96.17,usgs nwis,D,
2018-01-02 10:00:00,-06:00,96.18,usgs nwis,D,
2018-01-02 09:00:00,-06:00,96.20,usgs nwis,D,
2018-01-02 08:00:00,-06:00,96.24,usgs nwis,D,
2018-01-02 07:00:00,-06:00,96.25,usgs nwis,D,
2018-01-02 06:00:00,-06:00,96.27,usgs nwis,D,
2018-01-02 05:00:00,-06:00,96.29,usgs nwis,D,
2018-01-02 04:00:00,-06:00,96.31,usgs nwis,D,
2018-01-02 03:00:00,-06:00,96.34,usgs nwis,D,
2018-01-02 02:00:00,-06:00,96.36,usgs nwis,D,
2018-01-02 01:00:00,-06:00,96.37,usgs nwis,D,
2018-01-02 00:00:00,-06:00,96.40,usgs nwis,D,
2018-01-01 23:00:00,-06:00,96.41,usgs nwis,D,
2018-01-01 22:00:00,-06:00,96.37,usgs nwis,D,
2018-01-01 21:00:00,-06:00,96.34,usgs nwis,D,
2018-01-01 20:00:00,-06:00,96.31,usgs nwis,D,
2018-01-01 19:00:00,-06:00,96.29,usgs nwis,D,
2018-01-01 18:00:00,-06:00,96.27,usgs nwis,D,
2018-01-01 17:00:00,-06:00,96.25,usgs nwis,D,
2018-01-01 16:00:00,-06:00,96.24,usgs nwis,D,
2018-01-01 15:00:00,-06:00,96.24,usgs nwis,D,
2018-01-01 14:00:00,-06:00,96.24,usgs nwis,D,
2018-01-01 13:00:00,-06:00,96.24,usgs nwis,D,
2018-01-01 12:00:00,-06:00,96.23,usgs nwis,D,
2018-01-01 11:00:00,-06:00,96.21,usgs nwis,D,
2018-01-01 10:00:00,-06:00,96.17,usgs nwis,D,
2018-01-01 09:00:00,-06:00,96.14,usgs nwis,D,
2018-01-01 08:00:00,-06:00,96.08,usgs nwis,D,
2018-01-01 07:00:00,-06:00,96.04,usgs nwis,D,
2018-01-01 06:00:00,-06:00,96.02,usgs nwis,D,
2018-01-01 05:00:00,-06:00,96.01,usgs nwis,D,
2018-01-01 04:00:00,-06:00,96.02,usgs nwis,D,
2018-01-01 03:00:00,-06:00,96.03,usgs nwis,D,
2018-01-01 02:00:00,-06:00,96.03,usgs nwis,D,
2018-01-01 01:00:00,-06:00,96.04,usgs nwis,D,
2018-01-01 00:00:00,-06:00,96.04,usgs nwis,D,
2017-12-31 23:00:00,-06:00,96.06,usgs nwis,D,
2017-12-31 22:00:00,-06:00,96.05,usgs nwis,D,
2017-12-31 21:00:00,-06:00,96.02,usgs nwis,D,
2017-12-31 20:00:00,-06:00,96.01,usgs nwis,D,
2017-12-31 19:00:00,-06:00,96.00,usgs nwis,D,
2017-12-31 18:00:00,-06:00,96.00,usgs nwis,D,
2017-12-31 17:00:00,-06:00,96.00,usgs nwis,D,
2017-12-31 16:00:00,-06:00,95.99,usgs nwis,D,
2017-12-31 15:00:00,-06:00,95.96,usgs nwis,D,
2017-12-31 14:00:00,-06:00,95.90,usgs nwis,D,
2017-12-31 13:00:00,-06:00,95.92,usgs nwis,D,
2017-12-31 12:00:00,-06:00,95.93,usgs nwis,D,
2017-12-31 11:00:00,-06:00,95.92,usgs nwis,D,
2017-12-31 10:00:00,-06:00,95.91,usgs nwis,D,
2017-12-31 09:00:00,-06:00,95.87,usgs nwis,D,
2017-12-31 08:00:00,-06:00,95.84,usgs nwis,D,
2017-12-31 07:00:00,-06:00,95.83,usgs nwis,D,
2017-12-31 06:00:00,-06:00,95.82,usgs nwis,D,
2017-12-31 05:00:00,-06:00,95.85,usgs nwis,D,
2017-12-31 04:00:00,-06:00,95.87,usgs nwis,D,
2017-12-31 03:00:00,-06:00,95.91,usgs nwis,D,
2017-12-31 02:00:00,-06:00,95.94,usgs nwis,D,
2017-12-31 01:00:00,-06:00,95.93,usgs nwis,D,
2017-12-31 00:00:00,-06:00,95.93,usgs nwis,D,
2017-12-30 23:00:00,-06:00,95.92,usgs nwis,D,
2017-12-30 22:00:00,-06:00,95.92,usgs nwis,D,
2017-12-30 21:00:00,-06:00,95.91,usgs nwis,D,
2017-12-30 20:00:00,-06:00,95.89,usgs nwis,D,
2017-12-30 19:00:00,-06:00,95.87,usgs nwis,D,
2017-12-30 18:00:00,-06:00,95.86,usgs nwis,D,
2017-12-30 17:00:00,-06:00,95.86,usgs nwis,D,
2017-12-30 16:00:00,-06:00,95.86,usgs nwis,D,
2017-12-30 15:00:00,-06:00,95.87,usgs nwis,D,
2017-12-30 14:00:00,-06:00,95.87,usgs nwis,D,
2017-12-30 13:00:00,-06:00,95.89,usgs nwis,D,
2017-12-30 12:00:00,-06:00,95.91,usgs nwis,D,
2017-12-30 11:00:00,-06:00,95.91,usgs nwis,D,
2017-12-30 10:00:00,-06:00,95.90,usgs nwis,D,
2017-12-30 09:00:00,-06:00,95.88,usgs nwis,D,
2017-12-30 08:00:00,-06:00,95.87,usgs nwis,D,
2017-12-30 07:00:00,-06:00,95.86,usgs nwis,D,
2017-12-30 06:00:00,-06:00,95.86,usgs nwis,D,
2017-12-30 05:00:00,-06:00,95.89,usgs nwis,D,
2017-12-30 04:00:00,-06:00,95.92,usgs nwis,D,
2017-12-30 03:00:00,-06:00,95.96,usgs nwis,D,
2017-12-30 02:00:00,-06:00,95.99,usgs nwis,D,
2017-12-30 01:00:00,-06:00,96.02,usgs nwis,D,
2017-12-30 00:00:00,-06:00,96.05,usgs nwis,D,
2017-12-29 23:00:00,-06:00,96.06,usgs nwis,D,
