datetime,timezone,water_level(ft below land surface),source,status,comment
2018-02-01 07:00:00,-07:00,72.15,usgs nwis,D,
2018-02-01 06:30:00,-07:00,72.08,usgs nwis,D,
2018-02-01 06:00:00,-07:00,72.02,usgs nwis,D,
2018-02-01 05:30:00,-07:00,71.96,usgs nwis,D,
2018-02-01 05:00:00,-07:00,71.88,usgs nwis,D,
2018-02-01 03:00:00,-07:00,71.63,usgs nwis,D,
2018-02-01 02:30:00,-07:00,71.56,usgs nwis,D,
2018-02-01 02:00:00,-07:00,71.48,usgs nwis,D,
2018-02-01 01:30:00,-07:00,71.41,usgs nwis,D,
2018-02-01 01:00:00,-07:00,71.34,usgs nwis,D,
2018-02-01 00:30:00,-07:00,71.26,usgs nwis,D,
2018-02-01 00:00:00,-07:00,71.18,usgs nwis,D,
2018-01-31 23:30:00,-07:00,71.10,usgs nwis,D,
2018-01-31 23:00:00,-07:00,71.00,usgs nwis,D,
2018-01-31 22:30:00,-07:00,70.91,usgs nwis,D,
2018-01-31 22:00:00,-07:00,70.82,usgs nwis,D,
2018-01-31 21:30:00,-07:00,70.72,usgs nwis,D,
2018-01-31 21:00:00,-07:00,70.62,usgs nwis,D,
2018-01-31 19:00:00,-07:00,70.19,usgs nwis,D,
2018-01-31 18:30:00,-07:00,70.07,usgs nwis,D,
2018-01-31 18:00:00,-07:00,69.93,usgs nwis,D,
2018-01-31 13:30:00,-07:00,69.03,usgs nwis,D,
2018-01-31 13:00:00,-07:00,68.91,usgs nwis,D,
2018-01-31 11:00:00,-07:00,68.36,usgs nwis,D,
2018-01-31 10:30:00,-07:00,68.20,usgs nwis,D,
2018-01-31 10:00:00,-07:00,68.06,usgs nwis,D,
2018-01-31 09:30:00,-07:00,67.90,usgs nwis,D,
2018-01-31 09:00:00,-07:00,67.74,usgs nwis,D,
2018-01-31 07:00:00,-07:00,67.07,usgs nwis,D,
2018-01-31 06:30:00,-07:00,66.90,usgs nwis,D,
2018-01-31 06:00:00,-07:00,66.72,usgs nwis,D,
2018-01-31 05:30:00,-07:00,66.55,usgs nwis,D,
2018-01-31 05:00:00,-07:00,66.39,usgs nwis,D,
2018-01-31 03:00:00,-07:00,65.82,usgs nwis,D,
2018-01-31 02:30:00,-07:00,65.73,usgs nwis,D,
2018-01-31 02:00:00,-07:00,65.67,usgs nwis,D,
2018-01-31 01:30:00,-07:00,65.65,usgs nwis,D,
2018-01-31 01:00:00,-07:00,65.63,usgs nwis,D,
2018-01-31 00:30:00,-07:00,65.63,usgs nwis,D,
2018-01-31 00:00:00,-07:00,65.64,usgs nwis,D,
