POINTID,GRID_CODE,x_center,y_center
1,172.17465210,-103.03386299900,36.48747134690
2,175.29924011,-103.01036031800,36.48873089630
3,178.86712646,-102.98685677300,36.48998623460
4,181.09329224,-102.96335236800,36.49123736160
5,186.81396484,-102.93984710600,36.49248427720
6,189.18843079,-102.91634098800,36.49372698110
7,187.11221313,-102.89283401900,36.49496547300
8,176.36383057,-102.86932620000,36.49619975290
9,160.84425354,-102.84581753500,36.49742982050
10,141.43336487,-102.82230802600,36.49865567560
11,121.35501862,-102.79879767700,36.49987731810
12,174.21986389,-103.03211640800,36.47049834870
13,177.99983215,-103.00861952000,36.47175762700
14,182.61428833,-102.98512177000,36.47301269520
15,188.69323730,-102.96162316000,36.47426355290
16,195.86468506,-102.93812369200,36.47551020000
17,203.83935547,-102.91462337000,36.47675263640
18,204.80496216,-102.89112219700,36.47799086170
19,193.73081970,-102.86762017600,36.47922487590
20,170.15565491,-102.84411730900,36.48045467860
21,142.31683350,-102.82061359800,36.48168026980
22,113.09535217,-102.79710904800,36.48290164920
23,86.97048950,-102.77360366100,36.48411881660
24,70.34439850,-102.75009743900,36.48533177180
25,69.78646851,-102.72659038600,36.48654051470
26,81.41315460,-102.70308250400,36.48774504500
27,97.02798462,-102.67957379700,36.48894536250
28,111.77069855,-102.65606426600,36.49014146710
29,124.81464386,-102.63255391600,36.49133335860
30,136.28791809,-102.60904274800,36.49252103670
31,143.85444641,-102.58553076600,36.49370450130
32,147.42063904,-102.56201797200,36.49488375220
33,143.98329163,-102.53850437000,36.49605878920
34,134.60440063,-102.51498996100,36.49722961220
35,122.42359161,-102.49147475000,36.49839622080
36,109.34319305,-102.46795873900,36.49955861500
37,98.28359985,-102.44444193000,36.50071679460
38,175.83398438,-103.03037068300,36.45352477250
39,180.02220154,-103.00687958600,36.45478377990
40,185.16973877,-102.98338762600,36.45603857810
41,192.76373291,-102.95989480800,36.45728916680
42,204.71771240,-102.93640113300,36.45853554570
43,221.38929749,-102.91290660400,36.45977771480
44,228.69070435,-102.88941122500,36.46101567370
45,213.55096436,-102.86591499700,36.46224942230
46,180.92422485,-102.84241792500,36.46347896040
47,143.45098877,-102.81892001000,36.46470428790
48,103.75949097,-102.79542125700,36.46592540440
49,65.04856110,-102.77192166600,36.46714230980
50,39.01099014,-102.74842124200,36.46835500400
51,41.84872055,-102.72491998700,36.46956348670
52,65.22526550,-102.70141790400,36.47076775770
53,88.63809967,-102.67791499500,36.47196781680
54,110.14090729,-102.65441126500,36.47316366390
55,126.80268097,-102.63090671500,36.47435529880
56,142.19519043,-102.60740134800,36.47554272120
57,156.83233643,-102.58389516700,36.47672593100
58,165.35021973,-102.56038817600,36.47790492790
59,160.00993347,-102.53688037600,36.47907971190
60,143.24153137,-102.51337177200,36.48025028270
61,126.42831421,-102.48986236400,36.48141664010
62,111.14010620,-102.46635215800,36.48257878390
63,96.16506195,-102.44284115400,36.48373671400
64,83.41493225,-102.41932935700,36.48489043020
65,75.16535950,-102.39581676900,36.48603993220
66,72.24826813,-102.37230339300,36.48718521990
67,75.17003632,-102.34878923100,36.48832629320
68,79.27086639,-102.32527428700,36.48946315170
69,81.41397095,-102.30175856400,36.49059579540
70,80.24298859,-102.27824206300,36.49172422410
71,75.26917267,-102.25472478900,36.49284843760
72,73.03752899,-102.23120674400,36.49396843570
73,69.58291626,-102.20768793100,36.49508421820
74,67.00801086,-102.18416835200,36.49619578490
75,71.27088928,-102.16064801100,36.49730313580
76,86.23686981,-102.13712691100,36.49840627050
77,100.45944977,-102.11360505300,36.49950518890
78,176.98875427,-103.02862582300,36.43655061710
79,181.35302734,-103.00514051300,36.43780935390
80,186.12687683,-102.98165434200,36.43906388230
81,193.11557007,-102.95816731200,36.44031420210
82,207.69503784,-102.93467942700,36.44156031310
83,232.78706360,-102.91119068800,36.44280221510
84,247.79550171,-102.88770110000,36.44403990780
85,226.79971313,-102.86421066400,36.44527339110
86,187.87815857,-102.84071938400,36.44650266480
87,144.34272766,-102.81722726200,36.44772772870
88,99.04740906,-102.79373430100,36.44894858260
89,50.41277695,-102.77024050500,36.45016522630
90,13.45734406,-102.74674587500,36.45137765960
91,19.90219498,-102.72325041500,36.45258588230
92,55.63175964,-102.69975412800,36.45378989420
93,86.65480804,-102.67625701600,36.45498969520
94,110.14054108,-102.65275908200,36.45618528500
95,128.23229980,-102.62926033000,36.45737666340
96,145.88172913,-102.60576076100,36.45856383030
97,165.29733276,-102.58226038000,36.45974678550
98,182.00036621,-102.55875918800,36.46092552880
99,174.52343750,-102.53525718800,36.46210005990
100,148.85891724,-102.51175438400,36.46327037870
101,128.32456970,-102.48825077800,36.46443648510
102,110.53672791,-102.46474637300,36.46559837870
103,95.09253693,-102.44124117200,36.46675605950
104,78.39865875,-102.41773517800,36.46790952730
105,65.43547821,-102.39422839400,36.46905878190
106,61.74976349,-102.37072082100,36.47020382300
107,68.98478699,-102.34721246500,36.47134465050
108,76.76010132,-102.32370332600,36.47248126430
109,80.28249359,-102.30019340800,36.47361366410
