id,text,created_at,place,coordinates
903340757213487105,RT @twdb_bech: Spending time in #Rockport w/ a couple former bosses who care a great deal about the Coastal Bend @SecretaryPerry @toddahunt,Thu Aug 31 19:36:34 +0000 2017,None,None
903324224709943296,RT @twdb_kathleen: Thx @TexasCFM for your leadership in #txflood planning &amp; commitment to keeping Texas communities safe. #SanAntonio #tfma,Thu Aug 31 18:30:52 +0000 2017,None,None
903320059405369344,RT @TxWRI: We are having an #ag #irrigation field day set Sept. 13 in Eagle Pass. co-hosted by @txextension and @twdb https://t.co/NseCYjpx,Thu Aug 31 18:14:19 +0000 2017,None,None
903317252187017217,RT @TexasCFM: @twdb_kathleen of @twdb presents at the #tfma2017 fall technical summit sharing TWDB updates and services for communities #tf,Thu Aug 31 18:03:10 +0000 2017,None,None
903291378024767489,RT @USGS_Texas: Updated #TexasRiverReportfor 8/31/17 (10:00am) -- For more water info go to https://t.co/yIH5rI5NsV #BeWaterAware #Harvey,Thu Aug 31 16:20:21 +0000 2017,None,None
903287763507830787,RT @NWSWGRFC: Check out the unofficial Storm Rainfall Totals across TX and LA from #Harvey. #txwx #txflood https://t.co/rTgJ0vCuSc,Thu Aug 31 16:05:59 +0000 2017,None,None
903278711432024064,"We have info about what to do before, during, &amp; after a flood. Stay safe, Texas! https://t.co/tYQKo7QunD https://t.co/yVMX6thXqt",Thu Aug 31 15:30:01 +0000 2017,None,None
903278367666995200,RT @twdb_bech: Spent time today w/ @EPAScottPruitt @PoccaPort discussing how @twdb can put @EPA State Revolving Funds to work for TX respon,Thu Aug 31 15:28:39 +0000 2017,None,None
903274317483474945,RT @NWSHouston: An Areal Flood Warning is in effect until 1000 AM Fri. Multiple river gauges continue to show flooding across the area w/ s,Thu Aug 31 15:12:33 +0000 2017,None,None
903271768412090370,RT @TxDOT: Dangerous flooding continues to threaten #TX communities. Stay safe &amp; remember: #TurnAroundDontDrown! Visit: https://t.co/gslgm5,Thu Aug 31 15:02:26 +0000 2017,None,None
903271457194745856,RT @twdb_DrMace: .@AccelerateH2O is calling for folks w/ skid-mtd water treatment tech to register @SplashLink_com for #Harvey: https://t.c,Thu Aug 31 15:01:12 +0000 2017,None,None
903271340890882048,RT @twdb_DrMace: Communities seeking water and wastewater tech assistance after #Harvey can tap into @txawwa's TXWARN site: https://t.co/8d,Thu Aug 31 15:00:44 +0000 2017,None,None
903262012465192962,RT @NWSWPC: Latest storm summary with rainfall totals for #Harvey https://t.co/DS20c4Fr4B,Thu Aug 31 14:23:40 +0000 2017,None,None
903261911743164419,RT @TexasCFM: Mark Evans presents on the Stormwater Project Funding Opportunities through the @twdb at #tfmafall17 #tfma2017 plenary sessio,Thu Aug 31 14:23:16 +0000 2017,None,None
903074013660012545,RT @twdb_bech: I found Victoria Mayor @PaulPolasek handing out water &amp; ice today to his citizens. On Day 5. #VictoriaStrong #TexasStrong #H,Thu Aug 31 01:56:37 +0000 2017,None,None
902953429005467650,Dr. Greene w/ @twdb talks about the https://t.co/LU4miY4bVN (a network of weather stations) at the @TAGD https://t.co/ZiXUB01L5y,Wed Aug 30 17:57:28 +0000 2017,None,None
902931423874699264,We are hiring! Check out our current job listings at https://t.co/fFgRlFyPUH. #txwater #txwaterproud https://t.co/bvlrXRfueM,Wed Aug 30 16:30:01 +0000 2017,None,None
902917010018926592,Water-use irrigation efficiency field day set for September 6 in Edmonson. @twdb_kathleen will provide #txwater upd https://t.co/EuEQnpduFh,Wed Aug 30 15:32:45 +0000 2017,None,None
902908457795375105,You can continue to monitor #txflood conditions with our Flood Viewer at https://t.co/pOhVVXio9t. https://t.co/9otyJDxsXG,Wed Aug 30 14:58:46 +0000 2017,None,None
902895920001544192,"RT @TxDOT: As #Harvey continues to impact Texas roadways, please visit https://t.co/gslgm5725r for the latest road conditions &amp; closures.",Wed Aug 30 14:08:56 +0000 2017,None,None
902880696393502720,"RT @NWS: After the storm, dont put yourself in danger. https://t.co/7BiYGJO0Ic #FloodSafety https://t.co/64DgrBlosa",Wed Aug 30 13:08:27 +0000 2017,None,None
902714104883941376,RT @USGS_Texas: An important message from @TWDB! @USGS_Texas is honored to provide data/info to our partners and TEXANS during this critica,Wed Aug 30 02:06:28 +0000 2017,None,None
902660731350507520,RT @ArlingtonWater: Celebrate #WorldWaterWeek and pick up a Texas Water Development Board coloring book at River Legacy Living Science Cent,Tue Aug 29 22:34:23 +0000 2017,None,None
902629954277519360,RT @USDA: More #HurricaneHarvey resources- https://t.co/I7eJ33C4GB,Tue Aug 29 20:32:05 +0000 2017,None,None
902613077345976320,.@twdb_peter moderates The Value of Groundwater panel at the Texas Groundwater Summit. #txgroundwater2017 #txwater https://t.co/hVEVxo5Mzr,Tue Aug 29 19:25:02 +0000 2017,None,None
902601782089711617,"RT @TakeCareOfTX: Our thoughts are with everyone impacted by #HurricaneHarvey. Stay safe, Texans! #TakeCareOfTexas #TexasForever https://t.",Tue Aug 29 18:40:09 +0000 2017,None,None
902591309382287361,"RT @MySAWS: We have 24 crew members, 12 trucks &amp; large generators in #PortAransas to get city's water/sewer systems back on line. #Harvey #",Tue Aug 29 17:58:32 +0000 2017,None,None
902561935559970816,"RT @bass_wm: Great job by @TNRIS developing this app that shows river gauges, flood graphs, and lake levels. https://t.co/TEQAykjuf7 #Hurri",Tue Aug 29 16:01:48 +0000 2017,None,None
902530006827532288,RT @GBRATX: #Harvey2017 #GBRATX https://t.co/FujDbRM0Nv,Tue Aug 29 13:54:56 +0000 2017,None,None
902529914083139584,RT @USGS_Texas: Updated #TexasRiverReport for 8/29/17 (8:00am) -- For more water info go to https://t.co/yIH5rI5NsV #BeWaterAware #Harvey,Tue Aug 29 13:54:34 +0000 2017,None,None
902529762664513538,Info on river and lake levels and rainfall amounts are all available on our https://t.co/f0LM90oJIc site. https://t.co/7qpOJbil4z,Tue Aug 29 13:53:58 +0000 2017,None,None
902261405780500480,Much of TX received 10+ inches of rain this past weekend. Expect major changes in #Txdrought conditions next week. https://t.co/6iTJwNdBsI,Mon Aug 28 20:07:37 +0000 2017,None,None
902218502412611584,"RT @JesseOzuna_: For information on shelters, city &amp; partner updates please visit https://t.co/uvAkz3fhfC",Mon Aug 28 17:17:08 +0000 2017,None,None
902178153082351617,"RT @NWS: #Harvey in perspective. So much rain has fallen, we've had to update the color charts on our graphics in order to effectively map",Mon Aug 28 14:36:48 +0000 2017,None,None
902172708456292352,Purple dots mean major flooding as of 9 am this morning. Check https://t.co/8TgbRoDU0t and click on dots for more i https://t.co/jBjaFcem4g,Mon Aug 28 14:15:09 +0000 2017,None,None
901977637626810368,RT @twdb_DrMace: Colorado River above #LaGrangeTX: https://t.co/TzTrPHAMdJ,Mon Aug 28 01:20:01 +0000 2017,None,None
