latitude,longitude,altitude,geometry,aquifer,aquifer_type,county,entity,status,well_number
30.983054,-103.161111,,Point,Edwards-Trinity Plateau,Confined,Pecos,Middle Pecos GCD,Inactive,5207304
30.825832000000002,-98.277777,,Point,Hickory,Confined,Burnet,Central Texas GCD,Active,5714604
35.174443,-101.496666,,Point,Ogallala,Unconfined,Armstrong,Panhandle GCD,Active,0653401
30.528053999999997,-95.563888,,Point,Gulf Coast,Unconfined,Walker,U.S. Geological Survey,Active,6028802
30.210277,-97.781666,,Point,Edwards (Balcones Fault Zone),Confined,Travis,U.S. Geological Survey,Active,5850301
30.443609999999996,-95.708055,,Point,Gulf Coast,Unconfined,Montgomery,U.S. Geological Survey,Active,6035505
30.443609999999996,-95.708055,,Point,Gulf Coast,Unconfined,Montgomery,U.S. Geological Survey,Active,6035503
30.329999,-95.483333,,Point,Gulf Coast,Unconfined,Montgomery,U.S. Geological Survey,Active,6045414
30.329999,-95.483333,,Point,Gulf Coast,Unconfined,Montgomery,U.S. Geological Survey,Active,6045412
30.251388000000002,-95.576943,,Point,Gulf Coast,Unconfined,Montgomery,U.S. Geological Survey,Active,6044805
30.207777,-95.4575,,Point,Gulf Coast,Unconfined,Montgomery,U.S. Geological Survey,Active,6053516
30.146944,-95.242499,,Point,Gulf Coast,Unconfined,Montgomery,U.S. Geological Survey,Active,6055710
30.139999,-95.46305500000001,,Point,Gulf Coast,Unconfined,Montgomery,U.S. Geological Survey,Active,6053718
29.913611,-95.14472099999999,,Point,Gulf Coast,Unconfined,Harris,U.S. Geological Survey,Active,6507905
29.791109999999996,-95.33361,,Point,Gulf Coast,Unconfined,Harris,U.S. Geological Survey,Active,6514738
29.790554999999998,-95.586388,,Point,Gulf Coast,Unconfined,Harris,U.S. Geological Survey,Active,6512729
29.790833000000003,-95.58610999999999,,Point,Gulf Coast,Unconfined,Harris,U.S. Geological Survey,Active,6512726
29.790554999999998,-95.586388,,Point,Gulf Coast,Unconfined,Harris,U.S. Geological Survey,Active,6512725
29.727221000000004,-95.451111,,Point,Gulf Coast,Unconfined,Harris,U.S. Geological Survey,Active,6521230
29.726943,-95.45083299999999,,Point,Gulf Coast,Unconfined,Harris,U.S. Geological Survey,Active,6521226
29.563333,-95.118888,,Point,Gulf Coast,Unconfined,Harris,U.S. Geological Survey,Active,6532428
31.953888,-106.605833,,Point,Hueco-Mesilla Bolson,Unconfined,El Paso,U.S. Geological Survey,Active,4904477
31.953888,-106.605833,,Point,Hueco-Mesilla Bolson,Unconfined,El Paso,U.S. Geological Survey,Active,4904476
31.953611,-106.605277,,Point,Other,Unconfined,El Paso,U.S. Geological Survey,Active,4904475
31.953611,-106.605277,,Point,Other,Unconfined,El Paso,U.S. Geological Survey,Active,4904474
30.049721,-100.052222,,Point,Edwards-Trinity Plateau,Unconfined,Edwards,U.S. Geological Survey,Inactive,5564503
29.133888,-98.391388,,Point,Carrizo-Wilcox,Confined,Bexar,U.S. Geological Survey,Active,6853928
29.867777,-99.56722099999999,,Point,Edwards-Trinity Plateau,Unconfined,Bandera,U.S. Geological Survey,Active,6912206
29.208888,-99.784444,,Point,Edwards (Balcones Fault Zone),Confined,Uvalde,Edwards Aquifer Authority,Active,6950302
29.479165999999996,-98.43249899999999,,Point,Edwards (Balcones Fault Zone),Confined,Bexar,Edwards Aquifer Authority,Active,6837203
35.539165999999994,-100.464444,,Point,Ogallala,Unconfined,Wheeler,Texas Water Development Board,Inactive,0529711
30.3075,-97.972499,,Point,Trinity,Confined,Travis,Texas Water Development Board,Inactive,5841406
32.812222,-97.17472099999999,,Point,Trinity,Confined,Tarrant,Texas Water Development Board,Inactive,3215504
30.471666,-94.980554,,Point,Gulf Coast,Unconfined,San Jacinto,Texas Water Development Board,Inactive,6133114
29.791388,-98.71833199999999,,Point,Trinity,Unconfined,Kendall,Cow Creek GCD,Active,6811708
29.830554,-98.72861,,Point,Trinity,Unconfined,Kendall,Cow Creek GCD,Active,6811418
29.819443,-98.694999,,Point,Trinity,Unconfined,Kendall,Cow Creek GCD,Active,6811509
29.854444,-98.598333,,Point,Trinity,Unconfined,Kendall,Cow Creek GCD,Active,6812106
29.81,-98.76,,Point,Trinity,Unconfined,Kendall,Cow Creek GCD,Active,6810616
29.909722,-98.823332,,Point,Trinity,Confined,Kendall,Cow Creek GCD,Active,6802807
33.066111,-102.29111,,Point,Ogallala,Unconfined,Terry,Texas Water Development Board,Active,2462601
36.124165999999995,-102.508611,,Point,Ogallala,Unconfined,Dallam,Texas Water Development Board,Active,0260303
30.693054999999998,-94.746388,,Point,Gulf Coast,Unconfined,Polk,Texas Water Development Board,Active,6119417
30.782498999999998,-100.25944399999999,,Point,Edwards-Trinity Plateau,Unconfined,Schleicher,Plateau UWC & SD,Active,5514909
30.907777000000003,-100.833333,,Point,Edwards-Trinity Plateau,Unconfined,Schleicher,Plateau UWC & SD,Active,5502807
30.594721000000003,-95.07861,,Point,Gulf Coast,Unconfined,San Jacinto,Lower Trinity GCD,Active,6032219
30.114444,-99.035555,,Point,Edwards-Trinity Plateau,Unconfined,Kerr,Headwaters GCD,Active,5664302
30.114444,-99.035555,,Point,Trinity,Confined,Kerr,Headwaters GCD,Active,5664301
31.758055,-103.159722,,Point,Pecos Valley,Unconfined,Winkler,City of Wink,Active,4615924
30.981109999999997,-97.934721,,Point,Trinity,Unconfined,Burnet,Central Texas GCD,Active,5801202
30.861388,-97.90722199999999,,Point,Trinity,Confined,Burnet,Central Texas GCD,Active,5809303
30.690277000000002,-98.226943,,Point,Ellenburger-San Saba,Confined,Burnet,Central Texas GCD,Inactive,5723406
30.747777000000003,-98.085833,,Point,Trinity,Confined,Burnet,Central Texas GCD,Active,5724101
31.541388,-102.99499899999999,,Point,Pecos Valley,Unconfined,Ward,Texas Water Development Board,Active,4525715
30.820277,-100.506388,,Point,Edwards-Trinity Plateau,Unconfined,Schleicher,Plateau UWC & SD,Active,5512606
35.574443,-100.434166,,Point,Ogallala,Unconfined,Wheeler,Panhandle GCD,Active,0529505
32.07861,-94.874166,,Point,Carrizo-Wilcox,Unconfined,Rusk,Rusk County GCD,Active,3558405
30.255277000000003,-98.057777,,Point,Trinity,Confined,Hays,Hays Trinity GCD: W&L Water Services Inc.,Active,5748811
31.013888,-100.915277,,Point,Edwards-Trinity Plateau,Unconfined,Schleicher,Plateau UWC & SD,Active,4357905
35.373053999999996,-100.115555,,Point,Other,Unconfined,Wheeler,Panhandle GCD,Active,0539904
29.108888,-96.409444,,Point,Gulf Coast,Unconfined,Wharton,Coastal Bend GCD,Active,6661302
29.598609999999997,-96.214166,,Point,Gulf Coast,Unconfined,Wharton,Coastal Bend GCD,Active,6631107
30.795277000000002,-100.765833,,Point,Edwards-Trinity Plateau,Unconfined,Schleicher,Plateau UWC & SD,Active,5510611
30.974165999999997,-100.736388,,Point,Edwards-Trinity Plateau,Unconfined,Schleicher,Plateau UWC & SD,Active,5503109
31.064444,-100.274999,,Point,Edwards-Trinity Plateau,Unconfined,Schleicher,Plateau UWC & SD,Active,4362607
31.007222,-100.49611,,Point,Edwards-Trinity Plateau,Unconfined,Schleicher,Plateau UWC & SD,Inactive,4361706
31.893888,-94.77027700000001,,Point,Carrizo-Wilcox,Confined,Rusk,Rusk County GCD,Active,3702905
32.27111,-94.64694399999999,,Point,Carrizo-Wilcox,Unconfined,Rusk,Rusk County GCD,Active,3543906
35.769166,-100.775832,,Point,Ogallala,Unconfined,Roberts,Panhandle GCD,Active,0510953
35.889165999999996,-100.739999,,Point,Ogallala,Unconfined,Roberts,Panhandle GCD,Active,0503709
29.540277000000003,-104.31,,Point,West Texas Bolson,Unconfined,Presidio,Sul Ross State University,Inactive,7430813
30.315555,-104.016388,,Point,Igneous,Unconfined,Presidio,Sul Ross State University,Inactive,5148604
35.413610999999996,-101.639999,,Point,Ogallala,Unconfined,Potter,Panhandle GCD,Active,0635912
30.678054,-101.816666,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Inactive,5418510
30.356111,-102.846388,,Point,Other,Unconfined,Pecos,Middle Pecos GCD,Inactive,5342101
30.441665999999998,-102.843888,,Point,Other,Confined,Pecos,Middle Pecos GCD,Inactive,5334401
30.584165999999996,-102.51,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Active,5328303
30.62861,-102.489166,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Active,5321704
30.642777000000002,-102.528888,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Active,5320903
30.692777000000003,-102.523888,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Active,5320603
30.647777,-102.724721,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Active,5319701
30.828888,-102.03611,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Inactive,5316601
30.772499,-102.581666,,Point,Edwards-Trinity Plateau,Unconfined,Pecos,Middle Pecos GCD,Active,5312803
