POINTID,GRID_CODE,x_center,y_center
1,160.84425354,-102.84581753500,36.49742982050
2,121.35501862,-102.79879767700,36.49987731810
3,177.99983215,-103.00861952000,36.47175762700
4,188.69323730,-102.96162316000,36.47426355290
5,203.83935547,-102.91462337000,36.47675263640
6,193.73081970,-102.86762017600,36.47922487590
7,142.31683350,-102.82061359800,36.48168026980
8,86.97048950,-102.77360366100,36.48411881660
9,69.78646851,-102.72659038600,36.48654051470
10,97.02798462,-102.67957379700,36.48894536250
11,124.81464386,-102.63255391600,36.49133335860
12,79.27086639,-102.32527428700,36.48946315170
13,80.24298859,-102.27824206300,36.49172422410
14,73.03752899,-102.23120674400,36.49396843570
15,67.00801086,-102.18416835200,36.49619578490
16,86.23686981,-102.13712691100,36.49840627050
17,176.98875427,-103.02862582300,36.43655061710
18,186.12687683,-102.98165434200,36.43906388230
19,207.69503784,-102.93467942700,36.44156031310
20,247.79550171,-102.88770110000,36.44403990780
21,187.87815857,-102.84071938400,36.44650266480
22,99.04740906,-102.79373430100,36.44894858260
23,13.45734406,-102.74674587500,36.45137765960
24,55.63175964,-102.69975412800,36.45378989420
25,110.14054108,-102.65275908200,36.45618528500
26,145.88172913,-102.60576076100,36.45856383030
27,182.00036621,-102.55875918800,36.46092552880
28,148.85891724,-102.51175438400,36.46327037870
29,110.53672791,-102.46474637300,36.46559837870
30,78.39865875,-102.41773517800,36.46790952730
31,61.74976349,-102.37072082100,36.47020382300
32,76.76010132,-102.32370332600,36.47248126430
33,78.82748413,-102.27668271500,36.47474184980
34,65.08038330,-102.22965901000,36.47698557800
35,60.85636520,-102.18263223500,36.47921244750
36,89.39114380,-102.13560241300,36.48142245680
37,108.97977448,-102.08856956600,36.48361560460
38,125.95505524,-101.82838766700,36.47838906360
39,156.40528870,-101.78134734800,36.48047212860
40,173.05999756,-101.73430417900,36.48253832550
41,140.43460083,-101.68725818100,36.48458765270
42,146.61512756,-101.64020937900,36.48662010910
43,121.09621429,-101.59315779500,36.48863569330
44,95.55419159,-101.54610345100,36.49063440410
45,67.28220367,-101.49904637200,36.49261624010
46,80.17156219,-101.45198657900,36.49458120010
47,98.43492889,-101.40492409700,36.49652928290
48,119.56327057,-101.35785894600,36.49846048710
49,183.60578918,-103.00166495200,36.40385876040
50,189.26881409,-102.95471488800,36.40636253270
51,196.27334595,-102.90776140700,36.40884947690
52,191.03981018,-102.86080453000,36.41131959120
53,147.68034363,-102.81384428000,36.41377287420
54,89.90145111,-102.76688068100,36.41620932430
55,80.63934326,-102.71991375400,36.41862893990
56,102.74921417,-102.67294352200,36.42103171950
57,127.20724487,-102.62597000800,36.42341766160
58,152.75093079,-102.57899323500,36.42578676460
59,158.88731384,-102.53201322500,36.42813902710
60,115.07898712,-102.48503000200,36.43047444750
61,94.61789703,-102.43804358700,36.43279302430
62,73.74664307,-102.39105400500,36.43509475610
63,74.49063110,-102.34406127600,36.43737964140
64,83.45693207,-102.29706542600,36.43964767880
65,75.59967804,-102.25006647500,36.44189886670
66,30.96263123,-102.20306444700,36.44413320380
67,151.52346802,-102.15605936500,36.44635068860
68,87.10398865,-102.10905125100,36.44855131970
69,121.23044586,-102.06204012800,36.45073509570
70,150.80845642,-102.01502602000,36.45290201520
71,145.26847839,-101.96800894900,36.45505207690
72,150.06018066,-101.92098893800,36.45718527930
73,135.92405701,-101.87396600900,36.45930162100
74,124.87702942,-101.82694018600,36.46140110080
75,154.16673279,-101.77991149200,36.46348371730
76,178.82162476,-101.73287994800,36.46554946920
77,143.03860474,-101.68584557900,36.46759835500
78,89.12049866,-101.49631491500,36.45863361560
79,89.21243286,-101.44927839400,36.46059772910
80,95.29995728,-101.40223918700,36.46254497250
81,107.07979584,-101.35519731700,36.46447534460
82,149.04104614,-101.30815280600,36.46638884410
83,196.51802063,-101.26110567800,36.46828546980
84,254.64678955,-101.21405595600,36.47016522050
85,254.96783447,-101.16700366200,36.47202809490
86,228.72232056,-101.11994881900,36.47387409200
87,203.84266663,-101.07289145100,36.47570321050
88,203.92712402,-101.02583158100,36.47751544930
89,184.09461975,-100.97876923100,36.47931080710
90,135.14228821,-100.93170442500,36.48108928280
91,53.20867157,-100.88463718500,36.48285087530
92,101.67213440,-100.83756753500,36.48459558350
93,141.79708862,-100.79049549700,36.48632340620
94,156.12161255,-100.74342109500,36.48803434230
95,155.50831604,-100.69634435100,36.48972839080
96,177.56594849,-100.64926529000,36.49140555050
97,201.68687439,-100.60218393300,36.49306582030
98,241.38116455,-100.55510030300,36.49470919930
99,225.94496155,-100.50801442500,36.49633568630
