date,average_water_level
2018-02-01,132.01125
2018-01-31,195.6732173913043
2018-01-30,207.43437499999996
2018-01-29,211.8037499999999
2018-01-28,211.53844311377244
2018-01-27,211.58738095238095
2018-01-26,211.59922619047632
2018-01-25,211.68380952380954
2018-01-24,211.67583333333326
2018-01-23,211.5904761904762
2018-01-22,211.49035714285714
2018-01-21,211.21299401197604
2018-01-20,211.40500000000014
2018-01-19,211.5052976190476
2018-01-18,211.6203571428571
2018-01-17,211.74137724550891
2018-01-16,211.56476190476198
2018-01-15,211.29160714285723
2018-01-14,211.38291666666663
2018-01-13,211.5170658682636
2018-01-12,211.3091071428571
2018-01-11,211.09321428571417
2018-01-10,211.12696428571434
2018-01-09,211.34347305389213
2018-01-08,211.31017857142854
2018-01-07,211.27369047619035
2018-01-06,211.4424404761903
2018-01-05,211.4781547619049
2018-01-04,211.50839285714295
2018-01-03,211.52404761904754
2018-01-02,211.58702380952369
2018-01-01,211.66827380952384
2017-12-31,211.56832335329335
2017-12-30,211.35583333333338
2017-12-29,211.2694610778443
2017-12-28,211.5020238095237
2017-12-27,211.5283928571428
2017-12-26,211.9761445783132
2017-12-25,211.5111904761905
2017-12-24,211.4667857142857
2017-12-23,211.44904761904763
2017-12-22,211.31327380952385
2017-12-21,211.2829166666667
2017-12-20,211.43473053892203
2017-12-19,211.47101796407193
2017-12-18,211.3692215568863
2017-12-17,211.45684523809527
2017-12-16,211.40131736526945
2017-12-15,211.64547619047607
2017-12-14,211.5100595238095
2017-12-13,211.59065476190477
2017-12-12,211.82029940119756
2017-12-11,211.7284523809524
2017-12-10,211.78880952380945
2017-12-09,212.3821556886227
2017-12-08,211.4794610778445
2017-12-07,211.74613095238098
2017-12-06,211.5525748502995
2017-12-05,211.66880952380947
2017-12-04,211.5356547619048
2017-12-03,211.51060240963847
2017-12-02,211.81461077844307
2017-12-01,211.49664670658674
2017-11-30,211.36042168674695
2017-11-29,211.4033333333333
2017-11-28,211.54303571428574
2017-11-27,211.41059880239513
2017-11-26,211.63184523809528
2017-11-25,211.24071856287432
2017-11-24,211.43398809523816
2017-11-23,211.57589285714295
2017-11-22,211.29548192771074
2017-11-21,211.12618181818164
2017-11-20,211.27281437125748
2017-11-19,211.54261904761898
2017-11-18,211.29035714285706
2017-11-17,211.09246987951798
2017-11-16,211.0996407185628
2017-11-15,211.05473053892214
2017-11-14,211.31261904761885
2017-11-13,211.41226190476195
