datetime,timezone,water_level(ft below land surface),temperature(C),battery_voltage(v),source,status,comment
2018-01-15 09:00:00,-06:00,47.10,24.60,12.81,datalogger,R,
2018-01-15 08:00:00,-06:00,47.10,24.60,,datalogger,R,
2018-01-15 07:00:00,-06:00,47.10,24.60,,datalogger,R,
2018-01-15 06:00:00,-06:00,47.10,24.60,,datalogger,R,
2018-01-15 05:00:00,-06:00,47.11,24.60,,datalogger,R,
2018-01-15 04:00:00,-06:00,47.11,24.60,,datalogger,R,
2018-01-15 03:00:00,-06:00,47.12,24.60,,datalogger,R,
2018-01-15 02:00:00,-06:00,47.13,24.60,,datalogger,R,
2018-01-15 01:00:00,-06:00,47.14,24.60,,datalogger,R,
2018-01-15 00:00:00,-06:00,47.14,24.60,,datalogger,R,
2018-01-14 23:00:00,-06:00,47.15,24.60,,datalogger,R,
2018-01-14 22:00:00,-06:00,47.15,24.60,,datalogger,R,
2018-01-14 21:00:00,-06:00,47.16,24.60,13.13,datalogger,R,
2018-01-14 20:00:00,-06:00,47.16,24.60,,datalogger,R,
2018-01-14 19:00:00,-06:00,47.17,24.60,,datalogger,R,
2018-01-14 18:00:00,-06:00,47.18,24.60,,datalogger,R,
2018-01-14 17:00:00,-06:00,47.20,24.60,,datalogger,R,
2018-01-14 16:00:00,-06:00,47.22,24.60,,datalogger,R,
2018-01-14 15:00:00,-06:00,47.25,24.60,,datalogger,R,
2018-01-14 14:00:00,-06:00,47.27,24.60,,datalogger,R,
2018-01-14 13:00:00,-06:00,47.29,24.60,,datalogger,R,
2018-01-14 12:00:00,-06:00,47.29,24.60,,datalogger,R,
2018-01-14 11:00:00,-06:00,47.29,24.60,,datalogger,R,
2018-01-14 10:00:00,-06:00,47.28,24.60,,datalogger,R,
2018-01-12 09:00:00,-06:00,46.45,24.60,12.97,datalogger,R,
2018-01-12 08:00:00,-06:00,46.38,24.60,,datalogger,R,
2018-01-12 07:00:00,-06:00,46.32,24.60,,datalogger,R,
2018-01-12 06:00:00,-06:00,46.25,24.60,,datalogger,R,
2018-01-12 05:00:00,-06:00,46.18,24.60,,datalogger,R,
2018-01-12 04:00:00,-06:00,46.09,24.60,,datalogger,R,
2018-01-12 03:00:00,-06:00,46.01,24.60,,datalogger,R,
2018-01-12 02:00:00,-06:00,45.91,24.60,,datalogger,R,
2018-01-12 01:00:00,-06:00,45.81,24.60,,datalogger,R,
2018-01-12 00:00:00,-06:00,45.72,24.60,,datalogger,R,
2018-01-11 23:00:00,-06:00,45.62,24.60,,datalogger,R,
2018-01-11 22:00:00,-06:00,45.49,24.60,,datalogger,R,
2018-01-11 21:00:00,-06:00,45.33,24.60,13.44,datalogger,R,
2018-01-11 20:00:00,-06:00,45.13,24.60,,datalogger,R,
2018-01-11 19:00:00,-06:00,44.90,24.60,,datalogger,R,
2018-01-11 18:00:00,-06:00,44.66,24.60,,datalogger,R,
2018-01-11 17:00:00,-06:00,44.41,24.60,,datalogger,R,
2018-01-11 16:00:00,-06:00,44.34,24.60,,datalogger,R,
2018-01-11 15:00:00,-06:00,44.41,24.60,,datalogger,R,
2018-01-11 14:00:00,-06:00,44.49,24.60,,datalogger,R,
2018-01-11 13:00:00,-06:00,44.60,24.60,,datalogger,R,
2018-01-11 12:00:00,-06:00,44.73,24.60,,datalogger,R,
2018-01-11 11:00:00,-06:00,44.92,24.60,,datalogger,R,
2018-01-11 10:00:00,-06:00,45.17,24.60,,datalogger,R,
2018-01-11 09:00:00,-06:00,45.51,24.60,12.89,datalogger,R,
2018-01-11 08:00:00,-06:00,45.88,24.60,,datalogger,R,
2018-01-11 07:00:00,-06:00,45.82,24.60,,datalogger,R,
2018-01-11 06:00:00,-06:00,45.73,24.60,,datalogger,R,
2018-01-11 05:00:00,-06:00,45.64,24.60,,datalogger,R,
2018-01-11 04:00:00,-06:00,45.55,24.60,,datalogger,R,
2018-01-11 03:00:00,-06:00,45.45,24.60,,datalogger,R,
2018-01-11 02:00:00,-06:00,45.34,24.60,,datalogger,R,
2018-01-11 01:00:00,-06:00,45.22,24.60,,datalogger,R,
2018-01-11 00:00:00,-06:00,45.09,24.60,,datalogger,R,
2018-01-10 23:00:00,-06:00,44.96,24.60,,datalogger,R,
2018-01-10 22:00:00,-06:00,44.82,24.60,,datalogger,R,
2018-01-10 21:00:00,-06:00,44.69,24.60,13.13,datalogger,R,
2018-01-10 20:00:00,-06:00,44.60,24.60,,datalogger,R,
2018-01-10 19:00:00,-06:00,44.71,24.60,,datalogger,R,
2018-01-10 18:00:00,-06:00,45.12,24.60,,datalogger,R,
2018-01-10 17:00:00,-06:00,45.14,24.60,,datalogger,R,
2018-01-10 16:00:00,-06:00,45.26,24.60,,datalogger,R,
2018-01-10 15:00:00,-06:00,45.53,24.60,,datalogger,R,
2018-01-10 14:00:00,-06:00,45.86,24.60,,datalogger,R,
2018-01-10 13:00:00,-06:00,46.00,24.60,,datalogger,R,
2018-01-10 12:00:00,-06:00,46.46,24.60,,datalogger,R,
2018-01-10 11:00:00,-06:00,46.49,24.60,,datalogger,R,
2018-01-10 10:00:00,-06:00,46.44,24.60,,datalogger,R,
2018-01-10 09:00:00,-06:00,46.38,24.60,13.13,datalogger,R,
2018-01-10 08:00:00,-06:00,46.31,24.60,,datalogger,R,
2018-01-10 07:00:00,-06:00,46.24,24.60,,datalogger,R,
2018-01-10 06:00:00,-06:00,46.17,24.60,,datalogger,R,
2018-01-10 05:00:00,-06:00,46.08,24.60,,datalogger,R,
2018-01-10 04:00:00,-06:00,46.00,24.60,,datalogger,R,
2018-01-10 03:00:00,-06:00,45.90,24.60,,datalogger,R,
2018-01-10 02:00:00,-06:00,45.80,24.60,,datalogger,R,
2018-01-10 01:00:00,-06:00,45.68,24.60,,datalogger,R,
2018-01-10 00:00:00,-06:00,45.56,24.60,,datalogger,R,
2018-01-09 23:00:00,-06:00,45.44,24.60,,datalogger,R,
2018-01-09 22:00:00,-06:00,45.33,24.60,,datalogger,R,
2018-01-09 09:00:00,-06:00,45.57,24.60,12.41,datalogger,R,
2018-01-09 08:00:00,-06:00,45.82,24.60,,datalogger,R,
2018-01-09 07:00:00,-06:00,46.18,24.60,,datalogger,R,
2018-01-09 06:00:00,-06:00,46.29,24.60,,datalogger,R,
2018-01-09 05:00:00,-06:00,46.29,24.60,,datalogger,R,
2018-01-09 04:00:00,-06:00,46.28,24.60,,datalogger,R,
2018-01-09 03:00:00,-06:00,46.29,24.60,,datalogger,R,
2018-01-09 02:00:00,-06:00,46.29,24.60,,datalogger,R,
2018-01-09 01:00:00,-06:00,46.28,24.60,,datalogger,R,
2018-01-09 00:00:00,-06:00,46.29,24.60,,datalogger,R,
2018-01-08 23:00:00,-06:00,46.29,24.60,,datalogger,R,
2018-01-08 22:00:00,-06:00,46.29,24.60,,datalogger,R,
2018-01-01 09:00:00,-06:00,45.19,24.60,12.65,datalogger,R,
2018-01-01 08:00:00,-06:00,45.20,24.60,,datalogger,R,
2018-01-01 07:00:00,-06:00,45.22,24.60,,datalogger,R,
2018-01-01 06:00:00,-06:00,45.25,24.60,,datalogger,R,
2018-01-01 05:00:00,-06:00,45.29,24.60,,datalogger,R,
